proteina_a,proteina_b,evidencia_exp,base_datos,mineria_texto,score
ATM,TP53,0.928,0.90,0.975,0.999
BABAM2,BARD1,0.334,0.90,0.995,0.999
BABAM1,BABAM2,0.999,0.90,0.998,0.999
BABAM1,BRCA1,0.994,0.90,0.992,0.999
ATM,MRE11,0.907,0.90,0.941,0.999
ATM,BRCA1,0.847,0.90,0.999,0.999
BARD1,MRE11,0.994,0.54,0.753,0.999
BARD1,BRCA1,0.999,0.90,0.993,0.999
BARD1,BABAM2,0.334,0.90,0.995,0.999
BRCA1,BRIP1,0.999,0.90,0.997,0.999
BRCA1,BARD1,0.999,0.90,0.993,0.999
BARD1,BRIP1,0.994,0.54,0.753,0.999
BABAM2,BRCA1,0.783,0.90,0.995,0.999
BABAM2,BABAM1,0.999,0.90,0.998,0.999
BRIP1,TOPBP1,0.994,0.90,0.984,0.999
BRIP1,BARD1,0.994,0.54,0.753,0.999
BRIP1,BRCA1,0.999,0.90,0.997,0.999
TOPBP1,BRCA1,0.994,0.54,0.900,0.999
MRE11,ATM,0.907,0.90,0.941,0.999
MRE11,BRCA1,0.994,0.54,0.973,0.999
MRE11,BARD1,0.994,0.54,0.753,0.999
TP53,ATM,0.928,0.90,0.975,0.999
BRCA1,PALB2,0.944,0.90,0.999,0.999
BRCA1,TOPBP1,0.994,0.54,0.900,0.999
BRCA1,BABAM1,0.994,0.90,0.992,0.999
BRCA1,BABAM2,0.783,0.90,0.995,0.999
BRCA1,MRE11,0.994,0.54,0.973,0.999
BRCA1,FANCD2,0.779,0.54,0.998,0.999
BRCA1,ATM,0.847,0.90,0.999,0.999
BRCA1,TP53,0.895,0.50,0.999,0.999
TOPBP1,BRIP1,0.994,0.90,0.984,0.999
PALB2,BRCA1,0.944,0.90,0.999,0.999
TP53,BRCA1,0.895,0.50,0.999,0.999
FANCD2,BRCA1,0.779,0.54,0.998,0.999
BARD1,BABAM1,0.063,0.90,0.986,0.998
BARD1,TOPBP1,0.994,0.54,0.522,0.998
BRIP1,PALB2,0.292,0.90,0.980,0.998
BABAM1,BARD1,0.063,0.90,0.986,0.998
TOPBP1,BARD1,0.994,0.54,0.522,0.998
MRE11,BRIP1,0.994,0.50,0.497,0.998
PALB2,BRIP1,0.292,0.90,0.980,0.998
BRIP1,MRE11,0.994,0.50,0.497,0.998
FANCD2,BRIP1,0.515,0.00,0.993,0.997
BRIP1,FANCD2,0.515,0.00,0.993,0.997
PALB2,FANCD2,0.000,0.54,0.981,0.991
FANCD2,PALB2,0.000,0.54,0.981,0.991
ATM,FANCD2,0.321,0.54,0.967,0.989
FANCD2,ATM,0.321,0.54,0.967,0.989
BARD1,PALB2,0.291,0.50,0.966,0.987
PALB2,BARD1,0.291,0.50,0.966,0.987
TP53,BARD1,0.745,0.50,0.875,0.982
BARD1,TP53,0.745,0.50,0.875,0.982
TOPBP1,ATM,0.534,0.50,0.810,0.954
ATM,TOPBP1,0.534,0.50,0.810,0.954
TP53,TOPBP1,0.619,0.40,0.796,0.949
TOPBP1,TP53,0.619,0.40,0.796,0.949
ATM,BARD1,0.070,0.50,0.892,0.946
BARD1,ATM,0.070,0.50,0.892,0.946
PALB2,ATM,0.000,0.54,0.886,0.945
ATM,PALB2,0.000,0.54,0.886,0.945
ATM,BRIP1,0.000,0.80,0.678,0.933
BRIP1,ATM,0.000,0.80,0.678,0.933
MRE11,TP53,0.621,0.50,0.541,0.905
TP53,MRE11,0.621,0.50,0.541,0.905
PALB2,MRE11,0.000,0.50,0.736,0.870
MRE11,PALB2,0.000,0.50,0.736,0.870
BARD1,FANCD2,0.000,0.00,0.747,0.783
FANCD2,BARD1,0.000,0.00,0.747,0.783
BABAM2,ATM,0.071,0.50,0.559,0.777
ATM,BABAM2,0.071,0.50,0.559,0.777
FANCD2,TOPBP1,0.000,0.00,0.716,0.765
TOPBP1,FANCD2,0.000,0.00,0.716,0.765
TP53,PALB2,0.097,0.00,0.720,0.738
PALB2,TP53,0.097,0.00,0.720,0.738
FANCD2,MRE11,0.320,0.00,0.569,0.734
MRE11,FANCD2,0.320,0.00,0.569,0.734
MRE11,TOPBP1,0.091,0.50,0.388,0.733
TOPBP1,MRE11,0.091,0.50,0.388,0.733
