proteina_a,proteina_b,evidencia_exp,base_datos,mineria_texto,score
CDH1,EGFR,0.815,0.00,0.995,0.999
CBL,EGFR,0.996,0.90,0.994,0.999
ERBB2,ERBB3,0.997,0.90,0.984,0.999
EGF,ERBB2,0.314,0.90,0.998,0.999
EGF,EGFR,0.999,0.90,0.999,0.999
EGF,ERBB3,0.314,0.90,0.998,0.999
EGFR,HBEGF,0.812,0.90,0.998,0.999
EGFR,EREG,0.966,0.90,0.996,0.999
EGFR,DCN,0.537,0.90,0.986,0.999
DCN,EGFR,0.537,0.90,0.986,0.999
GAB1,EGFR,0.877,0.90,0.986,0.999
HBEGF,EGFR,0.812,0.90,0.998,0.999
PIK3CA,EGFR,0.790,0.90,0.976,0.999
EREG,EGFR,0.966,0.90,0.996,0.999
ERBB3,EGF,0.314,0.90,0.998,0.999
ERBB3,EGFR,0.986,0.80,0.984,0.999
ERBB3,ERBB2,0.997,0.90,0.984,0.999
ERBB2,EGFR,0.998,0.90,0.983,0.999
ERBB2,EGF,0.314,0.90,0.998,0.999
EGFR,ERBB2,0.998,0.90,0.983,0.999
EGFR,ERBB3,0.986,0.80,0.984,0.999
EGFR,EGF,0.999,0.90,0.999,0.999
EGFR,CBL,0.996,0.90,0.994,0.999
EGFR,PIK3CA,0.790,0.90,0.976,0.999
EGFR,GAB1,0.877,0.90,0.986,0.999
EGFR,CDH1,0.815,0.00,0.995,0.999
ERBB3,PIK3CA,0.597,0.90,0.856,0.993
PIK3CA,ERBB3,0.597,0.90,0.856,0.993
EGF,HBEGF,0.000,0.40,0.988,0.992
ERBB2,PIK3CA,0.115,0.90,0.927,0.992
HBEGF,EGF,0.000,0.40,0.988,0.992
PIK3CA,ERBB2,0.115,0.90,0.927,0.992
HBEGF,ERBB3,0.000,0.40,0.986,0.991
ERBB3,HBEGF,0.000,0.40,0.986,0.991
EREG,ERBB3,0.000,0.65,0.952,0.982
ERBB3,EREG,0.000,0.65,0.952,0.982
ERBB2,CDH1,0.108,0.00,0.964,0.970
CDH1,ERBB2,0.108,0.00,0.964,0.970
HBEGF,EREG,0.000,0.40,0.928,0.959
EREG,HBEGF,0.000,0.40,0.928,0.959
EREG,EGF,0.405,0.40,0.893,0.958
ERBB2,DCN,0.094,0.90,0.578,0.958
DCN,ERBB2,0.094,0.90,0.578,0.958
EGF,EREG,0.405,0.40,0.893,0.958
GAB1,ERBB2,0.314,0.90,0.300,0.948
ERBB2,GAB1,0.314,0.90,0.300,0.948
HBEGF,ERBB2,0.000,0.40,0.911,0.944
ERBB2,CBL,0.800,0.00,0.734,0.944
CBL,ERBB2,0.800,0.00,0.734,0.944
ERBB2,HBEGF,0.000,0.40,0.911,0.944
GAB1,ERBB3,0.071,0.90,0.327,0.932
ERBB3,GAB1,0.071,0.90,0.327,0.932
PIK3CA,GAB1,0.041,0.90,0.224,0.920
GAB1,PIK3CA,0.041,0.90,0.224,0.920
DCN,EGF,0.042,0.00,0.916,0.917
EGF,DCN,0.042,0.00,0.916,0.917
ERBB3,DCN,0.094,0.90,0.126,0.913
DCN,ERBB3,0.094,0.90,0.126,0.913
CBL,PIK3CA,0.629,0.65,0.186,0.887
PIK3CA,CBL,0.629,0.65,0.186,0.887
ERBB2,EREG,0.000,0.65,0.616,0.860
EREG,ERBB2,0.000,0.65,0.616,0.860
EGF,CBL,0.000,0.50,0.731,0.859
CBL,EGF,0.000,0.50,0.731,0.859
CDH1,ERBB3,0.108,0.00,0.813,0.856
ERBB3,CDH1,0.108,0.00,0.813,0.856
EGF,CDH1,0.000,0.00,0.851,0.852
CDH1,EGF,0.000,0.00,0.851,0.852
GAB1,EGF,0.046,0.40,0.720,0.826
EGF,GAB1,0.046,0.40,0.720,0.826
PIK3CA,EGF,0.000,0.40,0.595,0.746
EGF,PIK3CA,0.000,0.40,0.595,0.746
CBL,ERBB3,0.489,0.00,0.498,0.732
ERBB3,CBL,0.489,0.00,0.498,0.732
