proteina_a,proteina_b,evidencia_exp,base_datos,mineria_texto,score
ATM,TP53,0.928,0.90,0.975,0.999
EP300,CREBBP,0.782,0.90,0.983,0.999
DAXX,TP53,0.895,0.90,0.952,0.999
EP300,MDM2,0.820,0.00,0.994,0.999
CREBBP,TP53,0.998,0.90,0.996,0.999
CREBBP,EP300,0.782,0.90,0.983,0.999
EP300,TP53,0.999,0.90,0.998,0.999
TP53,RPA1,0.982,0.40,0.932,0.999
TP53,SIRT1,0.886,0.90,0.990,0.999
SIRT1,TP53,0.886,0.90,0.990,0.999
TP53,SFN,0.981,0.75,0.859,0.999
TP53,DAXX,0.895,0.90,0.952,0.999
TP53,EP300,0.999,0.90,0.998,0.999
TP53,CREBBP,0.998,0.90,0.996,0.999
TP53,HSP90AA1,0.903,0.00,0.995,0.999
TP53,ATM,0.928,0.90,0.975,0.999
TP53,TP53BP2,0.988,0.50,0.996,0.999
RPA1,TP53,0.982,0.40,0.932,0.999
MDM2,TP53,0.999,0.90,0.999,0.999
MDM2,EP300,0.820,0.00,0.994,0.999
SFN,TP53,0.981,0.75,0.859,0.999
HSP90AA1,TP53,0.903,0.00,0.995,0.999
TP53BP2,TP53,0.988,0.50,0.996,0.999
TP53,MDM2,0.999,0.90,0.999,0.999
MDM2,DAXX,0.842,0.50,0.953,0.995
MDM2,ATM,0.621,0.75,0.955,0.995
ATM,MDM2,0.621,0.75,0.955,0.995
DAXX,MDM2,0.842,0.50,0.953,0.995
SFN,MDM2,0.948,0.00,0.799,0.989
MDM2,SFN,0.948,0.00,0.799,0.989
EP300,SIRT1,0.698,0.00,0.902,0.972
SIRT1,EP300,0.698,0.00,0.902,0.972
RPA1,ATM,0.660,0.50,0.611,0.928
ATM,RPA1,0.660,0.50,0.611,0.928
MDM2,CREBBP,0.625,0.00,0.746,0.909
MDM2,HSP90AA1,0.539,0.00,0.810,0.909
CREBBP,MDM2,0.625,0.00,0.746,0.909
HSP90AA1,MDM2,0.539,0.00,0.810,0.909
EP300,ATM,0.000,0.00,0.900,0.904
ATM,EP300,0.000,0.00,0.900,0.904
SIRT1,ATM,0.000,0.00,0.855,0.856
ATM,SIRT1,0.000,0.00,0.855,0.856
DAXX,CREBBP,0.634,0.00,0.579,0.842
CREBBP,DAXX,0.634,0.00,0.579,0.842
ATM,DAXX,0.314,0.00,0.720,0.813
DAXX,ATM,0.314,0.00,0.720,0.813
EP300,HSP90AA1,0.292,0.50,0.490,0.809
HSP90AA1,EP300,0.292,0.50,0.490,0.809
SIRT1,HSP90AA1,0.394,0.00,0.686,0.803
HSP90AA1,SIRT1,0.394,0.00,0.686,0.803
HSP90AA1,ATM,0.000,0.00,0.785,0.785
ATM,HSP90AA1,0.000,0.00,0.785,0.785
CREBBP,SIRT1,0.101,0.00,0.724,0.754
SIRT1,CREBBP,0.101,0.00,0.724,0.754
